  Frequency            , V(MID)               , V(IN)                , V(OUT)               
  1.485935642287e-02  ,1.918550414415e-07  ,1.000000000000e-01  ,4.248008555923e-02  
  1.489361077711e-02  ,1.922973061446e-07  ,1.000000000000e-01  ,4.257801049575e-02  
  1.492794409579e-02  ,1.927405903176e-07  ,1.000000000000e-01  ,4.267616116026e-02  
  1.496235656094e-02  ,1.931848963371e-07  ,1.000000000000e-01  ,4.277453807303e-02  
  1.499684835502e-02  ,1.936302265384e-07  ,1.000000000000e-01  ,4.287314175555e-02  
  1.503141966090e-02  ,1.940765832740e-07  ,1.000000000000e-01  ,4.297197273047e-02  
  1.506607066187e-02  ,1.945239689068e-07  ,1.000000000000e-01  ,4.307103152167e-02  
  1.510080154164e-02  ,1.949723858483e-07  ,1.000000000000e-01  ,4.317031865424e-02  
  1.513561248436e-02  ,1.954218364301e-07  ,1.000000000000e-01  ,4.326983465447e-02  
  1.517050367459e-02  ,1.958723230743e-07  ,1.000000000000e-01  ,4.336958004987e-02  
  1.520547529732e-02  ,1.963238481194e-07  ,1.000000000000e-01  ,4.346955536915e-02  
  1.524052753797e-02  ,1.967764140046e-07  ,1.000000000000e-01  ,4.356976114226e-02  
  1.527566058238e-02  ,1.972300230965e-07  ,1.000000000000e-01  ,4.367019790036e-02  
  1.531087461682e-02  ,1.976846778272e-07  ,1.000000000000e-01  ,4.377086617582e-02  
  1.534616982799e-02  ,1.981403805910e-07  ,1.000000000000e-01  ,4.387176650227e-02  
  1.538154640303e-02  ,1.985971337924e-07  ,1.000000000000e-01  ,4.397289941453e-02  
  1.541700452950e-02  ,1.990549398810e-07  ,1.000000000000e-01  ,4.407426544869e-02  
  1.545254439538e-02  ,1.995138012720e-07  ,1.000000000000e-01  ,4.417586514205e-02  
  1.548816618912e-02  ,1.999737203872e-07  ,1.000000000000e-01  ,4.427769903316e-02  
  1.552387009958e-02  ,2.004346996762e-07  ,1.000000000000e-01  ,4.437976766179e-02  
  1.555965631605e-02  ,2.008967415714e-07  ,1.000000000000e-01  ,4.448207156900e-02  
  1.559552502827e-02  ,2.013598485328e-07  ,1.000000000000e-01  ,4.458461129704e-02  
  1.563147642641e-02  ,2.018240230172e-07  ,1.000000000000e-01  ,4.468738738944e-02  
  1.566751070108e-02  ,2.022892674672e-07  ,1.000000000000e-01  ,4.479040039099e-02  
  1.570362804334e-02  ,2.027555843777e-07  ,1.000000000000e-01  ,4.489365084772e-02  
  1.573982864466e-02  ,2.032229761878e-07  ,1.000000000000e-01  ,4.499713930691e-02  
  1.577611269699e-02  ,2.036914454098e-07  ,1.000000000000e-01  ,4.510086631712e-02  
  1.581248039270e-02  ,2.041609944934e-07  ,1.000000000000e-01  ,4.520483242818e-02  
  1.584893192461e-02  ,2.046316259506e-07  ,1.000000000000e-01  ,4.530903819115e-02  
  1.588546748598e-02  ,2.051033422659e-07  ,1.000000000000e-01  ,4.541348415839e-02  
  1.592208727051e-02  ,2.055761459305e-07  ,1.000000000000e-01  ,4.551817088354e-02  
  1.595879147237e-02  ,2.060500394845e-07  ,1.000000000000e-01  ,4.562309892148e-02  
  1.599558028615e-02  ,2.065250254052e-07  ,1.000000000000e-01  ,4.572826882840e-02  
  1.603245390690e-02  ,2.070011062187e-07  ,1.000000000000e-01  ,4.583368116176e-02  
  1.606941253013e-02  ,2.074782844580e-07  ,1.000000000000e-01  ,4.593933648030e-02  
  1.610645635178e-02  ,2.079565626455e-07  ,1.000000000000e-01  ,4.604523534406e-02  
  1.614358556826e-02  ,2.084359433214e-07  ,1.000000000000e-01  ,4.615137831436e-02  
  1.618080037643e-02  ,2.089164290253e-07  ,1.000000000000e-01  ,4.625776595381e-02  
  1.621810097359e-02  ,2.093980222903e-07  ,1.000000000000e-01  ,4.636439882633e-02  
  1.625548755750e-02  ,2.098807256876e-07  ,1.000000000000e-01  ,4.647127749713e-02  
  1.629296032640e-02  ,2.103645417744e-07  ,1.000000000000e-01  ,4.657840253272e-02  
  1.633051947894e-02  ,2.108494731080e-07  ,1.000000000000e-01  ,4.668577450092e-02  
  1.636816521428e-02  ,2.113355222596e-07  ,1.000000000000e-01  ,4.679339397086e-02  
  1.640589773200e-02  ,2.118226918141e-07  ,1.000000000000e-01  ,4.690126151297e-02  
  1.644371723215e-02  ,2.123109843324e-07  ,1.000000000000e-01  ,4.700937769901e-02  
  1.648162391525e-02  ,2.128004024237e-07  ,1.000000000000e-01  ,4.711774310205e-02  
  1.651961798229e-02  ,2.132909486800e-07  ,1.000000000000e-01  ,4.722635829648e-02  
  1.655769963470e-02  ,2.137826256967e-07  ,1.000000000000e-01  ,4.733522385800e-02  
  1.659586907438e-02  ,2.142754360798e-07  ,1.000000000000e-01  ,4.744434036367e-02  
  1.663412650370e-02  ,2.147693824454e-07  ,1.000000000000e-01  ,4.755370839184e-02  
  1.667247212551e-02  ,2.152644674030e-07  ,1.000000000000e-01  ,4.766332852222e-02  
  1.671090614311e-02  ,2.157606935861e-07  ,1.000000000000e-01  ,4.777320133585e-02  
  1.674942876026e-02  ,2.162580636248e-07  ,1.000000000000e-01  ,4.788332741510e-02  
  1.678804018123e-02  ,2.167565801459e-07  ,1.000000000000e-01  ,4.799370734370e-02  
  1.682674061070e-02  ,2.172562458038e-07  ,1.000000000000e-01  ,4.810434170669e-02  
  1.686553025389e-02  ,2.177570632390e-07  ,1.000000000000e-01  ,4.821523109049e-02  
  1.690440931643e-02  ,2.182590351061e-07  ,1.000000000000e-01  ,4.832637608286e-02  
  1.694337800447e-02  ,2.187621640733e-07  ,1.000000000000e-01  ,4.843777727292e-02  
  1.698243652462e-02  ,2.192664527950e-07  ,1.000000000000e-01  ,4.854943525114e-02  
  1.702158508395e-02  ,2.197719039570e-07  ,1.000000000000e-01  ,4.866135060935e-02  
  1.706082389003e-02  ,2.202785202380e-07  ,1.000000000000e-01  ,4.877352394075e-02  
  1.710015315090e-02  ,2.207863043064e-07  ,1.000000000000e-01  ,4.888595583989e-02  
  1.713957307508e-02  ,2.212952588859e-07  ,1.000000000000e-01  ,4.899864690272e-02  
  1.717908387158e-02  ,2.218053866449e-07  ,1.000000000000e-01  ,4.911159772653e-02  
  1.721868574986e-02  ,2.223166902970e-07  ,1.000000000000e-01  ,4.922480891001e-02  
  1.725837891990e-02  ,2.228291725484e-07  ,1.000000000000e-01  ,4.933828105321e-02  
  1.729816359215e-02  ,2.233428361128e-07  ,1.000000000000e-01  ,4.945201475759e-02  
  1.733803997754e-02  ,2.238576837382e-07  ,1.000000000000e-01  ,4.956601062596e-02  
  1.737800828749e-02  ,2.243737181173e-07  ,1.000000000000e-01  ,4.968026926255e-02  
  1.741806873392e-02  ,2.248909420122e-07  ,1.000000000000e-01  ,4.979479127296e-02  
