#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-15 21:21:37.717
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3.26429 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 50 mV/div Offset: -3.3 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 50 mV/div Offset: -3.3 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 MHz
#Period: 1 us
#Amplitude: 20 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
2.684767441860465e-05,3.284538568004992,3.265280417534249
2.685767441860465e-05,3.269049018601897,3.265280417534249
2.686767441860465e-05,3.249181987845753,3.264940075857028
2.687767441860465e-05,3.241773942479055,3.264599734179806
2.688767441860465e-05,3.2602940558958,3.264599734179806
2.689767441860465e-05,3.278814169312544,3.263919050825363
2.690767441860465e-05,3.286558944014092,3.265280417534249
2.691767441860465e-05,3.269722477271597,3.264940075857028
2.692767441860465e-05,3.247161611836654,3.26562075921147
2.693767441860465e-05,3.241773942479055,3.264599734179806
2.694767441860465e-05,3.25995732656095,3.264599734179806
2.695767441860465e-05,3.279150898647394,3.263578709148142
2.696767441860465e-05,3.284875297339842,3.26562075921147
2.697767441860465e-05,3.272079582615546,3.264940075857028
2.698767441860465e-05,3.247161611836654,3.264259392502585
2.699767441860465e-05,3.241437213144206,3.264940075857028
2.700767441860465e-05,3.257600221217001,3.265280417534249
2.701767441860465e-05,3.279150898647394,3.266301442565913
2.702767441860465e-05,3.286895673348942,3.264599734179806
2.703767441860465e-05,3.272079582615546,3.26562075921147
2.704767441860465e-05,3.249855446515453,3.264940075857028
2.705767441860465e-05,3.242447401148755,3.264940075857028
2.706767441860465e-05,3.257600221217001,3.264259392502585
2.707767441860465e-05,3.276120334633745,3.264940075857028
2.708767441860465e-05,3.288242590688341,3.26562075921147
2.709767441860465e-05,3.274436687959496,3.26562075921147
2.710767441860465e-05,3.247498341171504,3.266301442565913
2.711767441860465e-05,3.242447401148755,3.26562075921147
2.712767441860465e-05,3.255243115873051,3.266641784243134
2.713767441860465e-05,3.277803981307994,3.264599734179806
2.714767441860465e-05,3.285548756009542,3.264940075857028
2.715767441860465e-05,3.272079582615546,3.266641784243134
2.716767441860465e-05,3.247835070506354,3.266982125920355
2.717767441860465e-05,3.241773942479055,3.265280417534249
2.718767441860465e-05,3.258273679886701,3.264940075857028
2.719767441860465e-05,3.280497815986794,3.265280417534249
2.720767441860465e-05,3.286895673348942,3.265961100888692
2.721767441860465e-05,3.271069394610997,3.266301442565913
2.722767441860465e-05,3.247835070506354,3.264940075857028
